"RecordID","WatershedID","City","State","Location","Date","Watershed.Years","ShortLU","LandUse","Tillage","CP1","CP2","CP3","DST","ShortST","D.SoilType","H.SoilGroup","MinSoilP","MaxSoilP","SoilP.Extractant","MinSlope","MaxSlope","MinSize","MaxSize","FertilizerForm1","F.AppMethod1","FertilizerForm2","F.AppMethod2","Max.N.Applied","Min.N.Applied","Avg.N.Applied","Max.P.Applied","Min.P.Applied","Avg.P.Applied","Max.rain","Min.rain","Avg.rain","Max.Runoff","Min.Runoff","Avg.Runoff","Max.SoilL","Min.SoilL","Avg.SoilL","MaxDN","MinDN","AvgDN","DN.Form","MaxPN","MinPN","AvgPN","PN.Form","MaxTNLoad","MinTNLoad","AvgTNLoad","TN.Form","MaxDP","MinDP","AvgDP","DP.Form","MaxPP","MinPP","AvgPP","PP.Form","MaxTPLoad","MinTPLoad","AvgTPLoad","FormTP","FlowIndicator","Comments","Reference","Ref","CPs"
221,"NG","Bushland, TX","TX",NA,"1978 - 1980",3,"Pasture","Blue Grama and Buffalo Grass","Pasture",NA,NA,NA,"Clayey","Clay Loam","Clay Loam- Pullman","D",NA,NA,NA,1,1,0.04,0.04,NA,"Other2",NA,NA,NA,NA,0,0,0,0,NA,NA,430,NA,NA,12,NA,NA,56,NA,NA,0.2,"NO3+NH4-N",NA,NA,NA,NA,NA,NA,0.5,"TKN",NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,0.1,NA,"Surface Runoff","Information repeated in concurrent studies at Bushland, results presented for LRA not watershed","Smith, S.J., R.G. Menzel, E.D. Rhoades, J.R. Williams, and H.V. Eck. 1983. Nutrient and Sediment Discharge from Southern Plains Grasslands. J. Range Mgmt. 36(4):435-439.",39,0
222,"SG","Bushland, TX","TX",NA,"1978 - 1980",3,"Pasture","Blue Grama and Buffalo Grass","Pasture",NA,NA,NA,"Clayey","Clay Loam","Clay Loam- Pullman","D",NA,NA,NA,1,1,0.04,0.04,NA,"Other2",NA,NA,NA,NA,0,0,0,0,NA,NA,430,NA,NA,12,NA,NA,56,NA,NA,0.2,"NO3+NH4-N",NA,NA,NA,NA,NA,NA,0.5,"TKN",NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,0.1,NA,"Surface Runoff","Information repeated in concurrent studies at Bushland, results presented for LRA not watershed","Smith, S.J., R.G. Menzel, E.D. Rhoades, J.R. Williams, and H.V. Eck. 1983. Nutrient and Sediment Discharge from Southern Plains Grasslands. J. Range Mgmt. 36(4):435-439.",39,0
98,"W3","Treynor, IA","IA",NA,"1969 - 1971",3,"Pasture","Bromegrass (Rotational Grazing)","Pasture","Waterway",NA,NA,"Loamy","Silt Loam","Silt Loam- Marshall, Monona, Ida, Napier","B",NA,NA,NA,2,18,43,43,"NH4NO3","Surface Applied","Superphosphate","Surface Applied",NA,NA,168,39,39,39,780,733,755,44,9,31,1430,90,600,NA,NA,1.15,"NO3+NH4-N",NA,NA,1.21,"TKN",NA,NA,2.36,NA,0.39,0.06,0.22,NA,0.13,0.02,0.07,NA,0.51,0.08,0.28,NA,"Surface Runoff","Two Articles Were Combined:  Schuman, G.E., R.G. Spomer, and R.F. Piest. 1973. Phosphorus Losses from Four Agricultural Watersheds on Missouri Valley Loess. Soil Sci. Soc. Amer. Proc. 37: 424-427.","Schuman, G.E., R.E. Burwell, R.F. Piest, and R.G. Spomer. 1973. Nitrogen Losses in Surface Runoff from Agricultural Watersheds on Missouri Valley Loess. J. Environ. Qual. 2(2): 299-302.",33,1
262,"1","Indian River area, FL","FL",NA,"2001-2002",2,"Other","Citrus","Conventional",NA,NA,NA,"Sandy","Sand underlain with clay layer","Sand underlain with clay layer - Waveland","B/D",101,101,"Mehlich 3",0,5,0.27,0.27,"NH4H2PO4/KH2PO4","Surface Applied",NA,NA,NA,NA,NA,37,37,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.22,0.45,"Total Dissolved P",NA,NA,NA,NA,1.02,0.32,0.67,NA,"Surface Runoff & Drainage","Hydrologic soil groups were estimated.","He, Z.L., M.K. Zhang, P.J. Stofella, X.E. Yang, and D.J. Banks. 2006. Phosphorus Concentrations and Loads in Runoff Water under Crop Production. Soil Sci. Soc. Amer. J. 70:1807-1816.",16,0
267,"10","Indian River area, FL","FL",NA,"2001-2002",2,"Other","Citrus","Conventional",NA,NA,NA,"Sandy","Sand underlain with clay layer","Sand underlain with clay layer - Winder","D",11.4,11.4,"Mehlich 3",0,5,0.61,0.61,"NH4H2PO4/KH2PO4","Surface Applied",NA,NA,NA,NA,NA,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,0.21,1,"Total Dissolved P",NA,NA,NA,NA,2.67,0.31,1.49,NA,"Surface Runoff & Drainage","Hydrologic soil groups were estimated.","He, Z.L., M.K. Zhang, P.J. Stofella, X.E. Yang, and D.J. Banks. 2006. Phosphorus Concentrations and Loads in Runoff Water under Crop Production. Soil Sci. Soc. Amer. J. 70:1807-1816.",16,0
268,"11","Indian River area, FL","FL",NA,"2001-2002",2,"Other","Citrus","Conventional",NA,NA,NA,"Sandy","Sand underlain with clay layer","Sand underlain with clay layer - Ankona","B/D",76.9,76.9,"Mehlich 3",0,5,0.22,0.22,"NH4H2PO4/KH2PO4","Surface Applied",NA,NA,NA,NA,NA,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18,0.67,1.93,"Total Dissolved P",NA,NA,NA,NA,4.06,1,2.53,NA,"Surface Runoff & Drainage","Hydrologic soil groups were estimated.","He, Z.L., M.K. Zhang, P.J. Stofella, X.E. Yang, and D.J. Banks. 2006. Phosphorus Concentrations and Loads in Runoff Water under Crop Production. Soil Sci. Soc. Amer. J. 70:1807-1816.",16,0
263,"2","Indian River area, FL","FL",NA,"2001-2002",2,"Other","Citrus","Conventional",NA,NA,NA,"Sandy","Sand underlain with clay layer","Sand underlain with clay layer - Waveland","B/D",79.3,79.3,"Mehlich 3",0,5,0.27,0.27,"NH4H2PO4/KH2PO4","Surface Applied",NA,NA,NA,NA,NA,38,38,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.27,0.3,"Total Dissolved P",NA,NA,NA,NA,0.48,0.35,0.42,NA,"Surface Runoff & Drainage","Hydrologic soil groups were estimated.","He, Z.L., M.K. Zhang, P.J. Stofella, X.E. Yang, and D.J. Banks. 2006. Phosphorus Concentrations and Loads in Runoff Water under Crop Production. Soil Sci. Soc. Amer. J. 70:1807-1816.",16,0
264,"3","Indian River area, FL","FL",NA,"2001-2002",2,"Other","Citrus","Conventional",NA,NA,NA,"Sandy","Sand underlain with clay layer","Sand underlain with clay layer - Wabasso","B/D",15.9,15.9,"Mehlich 3",0,5,0.3,0.3,"NH4H2PO4/KH2PO4","Surface Applied",NA,NA,NA,NA,NA,38,38,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.17,1.39,"Total Dissolved P",NA,NA,NA,NA,2.35,1.44,1.9,NA,"Surface Runoff & Drainage","Hydrologic soil groups were estimated.","He, Z.L., M.K. Zhang, P.J. Stofella, X.E. Yang, and D.J. Banks. 2006. Phosphorus Concentrations and Loads in Runoff Water under Crop Production. Soil Sci. Soc. Amer. J. 70:1807-1816.",16,0
266,"9","Indian River area, FL","FL",NA,"2001-2002",2,"Other","Citrus","Conventional",NA,NA,NA,"Sandy","Sand underlain with clay layer","Sand underlain with clay layer - Ankona","B/D",88.3,88.3,"Mehlich 3",0,5,0.18,0.18,"NH4H2PO4/KH2PO4","Surface Applied",NA,NA,NA,NA,NA,37,37,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.36,0.81,3.59,"Total Dissolved P",NA,NA,NA,NA,7.14,1,4.07,NA,"Surface Runoff & Drainage","Hydrologic soil groups were estimated.","He, Z.L., M.K. Zhang, P.J. Stofella, X.E. Yang, and D.J. Banks. 2006. Phosphorus Concentrations and Loads in Runoff Water under Crop Production. Soil Sci. Soc. Amer. J. 70:1807-1816.",16,0
265,"4","Indian River area, FL","FL",NA,"2001-2002",2,"Other","Citrus","Conventional",NA,NA,NA,"Sandy","Sand underlain with clay layer","Sand underlain with clay layer - Wabasso","B/D",14.2,14.2,"Mehlich 3",0,5,0.3,0.3,"NH4H2PO4/KH2PO4","Surface Applied",NA,NA,NA,NA,NA,38,38,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0.84,1.37,"Total Dissolved P",NA,NA,NA,NA,2.42,2.17,2.3,NA,"Surface Runoff & Drainage","Hydrologic soil groups were estimated.","He, Z.L., M.K. Zhang, P.J. Stofella, X.E. Yang, and D.J. Banks. 2006. Phosphorus Concentrations and Loads in Runoff Water under Crop Production. Soil Sci. Soc. Amer. J. 70:1807-1816.",16,0
173,"W10","Riesel, TX","TX",NA,"1976 - 1982",7,"Pasture","Coastal Bermuda Grass","Pasture",NA,NA,NA,"Clayey","Clay","Clay- Houston Black","B",NA,NA,NA,2,2,7.97,7.97,NA,"Surface Applied",NA,NA,NA,NA,21,0,0,0,NA,NA,NA,NA,NA,111.8,NA,NA,70,NA,NA,0.83,"NO3+NH4-N",NA,NA,1.52,"TKN minus NH4-N",NA,NA,2.35,"TKN plus NO3-N",NA,NA,0.11,"Soluble P (colorimetric)",NA,NA,0.11,"Total P minus PO4-P",NA,NA,0.22,"Percholoric Acid digestion","Surface Runoff","Sorghum year information repeated for the overall rotation in concurrent studies at Riesel","Sharpley, A.N., S.J. Smith, J.R. Williams, O.R. Jones, and G.A. Coleman. 1991. Water Quality Impacts Assocated with Sorghum Culture in the Southern Plains. J. Environ. Qual. 20:239-244.",35,0
219,"W10","Riesel, TX","TX",NA,"1976 - 1980",5,"Pasture","Coastal Bermuda Grass (Moderate Grazing)","Pasture",NA,NA,NA,"Clayey","Clay","Clay- Houston Black","B",NA,NA,NA,2,2,7.9,7.9,NA,"Surface Applied",NA,NA,NA,NA,32,0,0,0,NA,NA,950,NA,NA,140,NA,NA,686,NA,NA,3.7,"NO3+NH4-N",NA,NA,NA,NA,NA,NA,4.3,"TKN",NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,0.6,NA,"Surface Runoff","Information repeated in concurrent studies at Riesel, results presented for LRA not watershed","Smith, S.J., R.G. Menzel, E.D. Rhoades, J.R. Williams, and H.V. Eck. 1983. Nutrient and Sediment Discharge from Southern Plains Grasslands. J. Range Mgmt. 36(4):435-439.",39,0
8,"W10","Riesel, TX","TX",NA,"1976 - 1982",7,"Pasture","Coastal Bermudagrass","Pasture",NA,NA,NA,"Clayey","Clay","Clay- Houston Black","B",7,7,"Mehlich 3",2,2,8.5,8.5,NA,"Other2",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,112,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.07,0.22,NA,"Surface Runoff",NA,"Sharpley, A. 1995. Identifying Sites Vulnerable to Phosphorus Loss in Agricultural Runoff. J. Environ. Qual. 24: 947-951.",34,0
38,"W10","Riesel, TX","TX",NA,"August 2001 - July 2003",2,"Pasture","Coastal Bermudagrass","Pasture",NA,NA,NA,"Clayey","Clay","Clay- Houston Black","B",36.6,37.6,"Mehlich 3",2.5,2.5,8,8,"Poultry Litter","Surface Applied",NA,NA,NA,NA,172,NA,NA,180,1046,997,1022,131,126,129,38,19,29,NA,NA,0.15,"NO3+NO2+NH4-N",NA,NA,0.1,"TKN",NA,NA,0.25,NA,1.1,0.5,0.8,"PO4-P",0,0,0,"TKP",1.2,0.6,0.9,NA,"Surface Runoff",NA,"Harmel, R.D., H.A. Torbert, B.E. Haggard, R. Haney, and M. Dozier. 2004. Water Quality Impacts of Converting to a Poultry Litter Fertilization Strategy. J. Environ. Qual. 33:2229-2242.",14,0
121,"Control (2 plots)","Auburn, AL","AL",NA,"1973 - 1975",6,"Pasture","Coastal Bermudagrass","Pasture",NA,NA,NA,"Sandy","Sandy Loam","Sandy Loam- Norfolk","B",NA,NA,NA,0,2,0.04,0.04,"NH4NO3","Surface Applied","Super Phosphate, Muriate of Potash","Surface Applied",NA,NA,370,160,160,160,1912,1089,1450,420,108,305,NA,NA,NA,NA,NA,3.2,"NO3+NH4-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Surface Runoff",NA,"Long, F.L. 1979. Runoff Water Quality as Affected by Surface-Applied Dairy Cattle Manure. J. Environ. Qual. 8(2): 215-218.",23,0
122,"Dairy Manure (2 plots)","Auburn, AL","AL",NA,"1973 - 1975",6,"Pasture","Coastal Bermudagrass","Pasture",NA,NA,NA,"Sandy","Sandy Loam","Sandy Loam- Norfolk","B",NA,NA,NA,0,2,0.04,0.04,"Dairy Manure","Surface Applied",NA,NA,NA,NA,807,175,175,175,1912,1089,1450,419,100,285,NA,NA,NA,NA,NA,13.07,"NO3+NH4-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Surface Runoff",NA,"Long, F.L. 1979. Runoff Water Quality as Affected by Surface-Applied Dairy Cattle Manure. J. Environ. Qual. 8(2): 215-218.",23,0
36,"SW17","Riesel, TX","TX",NA,"August 2001 - July 2003",2,"Pasture","Coastal Bermudagrass (Grazing)","Pasture",NA,NA,NA,"Clayey","Clay","Clay- Houston Black","B",5.5,12.6,"Mehlich 3",2.5,2.5,1.2,1.2,NA,"Other2",NA,NA,NA,NA,0,NA,NA,0,1046,997,1022,193,129,161,1608,25,817,NA,NA,0.15,"NO3+NO2+NH4-N",NA,NA,4.3,"TKN",NA,NA,4.5,NA,0.3,0.2,0.25,"PO4-P",1.7,0,0.85,"TKP",1.9,0.3,1.1,NA,"Surface Runoff",NA,"Harmel, R.D., H.A. Torbert, B.E. Haggard, R. Haney, and M. Dozier. 2004. Water Quality Impacts of Converting to a Poultry Litter Fertilization Strategy. J. Environ. Qual. 33:2229-2242.",14,0
106,"W3- IX","Ft. Valley, Peach County, GA","GA",NA,"March 1995 - March 1997",2,"Pasture","Coastal Bermudagrass, Fescue","Pasture",NA,NA,NA,"Sandy","Sandy Loam","Sandy Loam- Faceville","B",NA,NA,NA,2,3.5,0.45,0.45,"Broiler Litter","Surface Applied",NA,NA,NA,NA,283,125,102,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,"NO3-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,"Surface Runoff & Subsurface Flow",NA,"Vervoort, R.W., D.E. Radcliffe, M.L. Cabrera, and M. Latimore, Jr. 1998. Field-Scale Nitrogen and Phosphorus Losses from Hayfields Receiving Fresh and Composted Broiler Litter. J. Environ. Qual. 27: 1246-1254.",48,0
108,"W2- 2X","Ft. Valley, Peach County, GA","GA",NA,"March 1995 - March 1997",2,"Pasture","Coastal Bermudagrass, Fescue","Pasture",NA,NA,NA,"Sandy","Sandy Loam","Sandy Loam- Esto, Faceville","B, C",NA,NA,NA,2,3.5,0.45,0.45,"Broiler Litter","Surface Applied",NA,NA,NA,NA,535,254,218,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,"NO3-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,"Surface Runoff & Subsurface Flow",NA,"Vervoort, R.W., D.E. Radcliffe, M.L. Cabrera, and M. Latimore, Jr. 1998. Field-Scale Nitrogen and Phosphorus Losses from Hayfields Receiving Fresh and Composted Broiler Litter. J. Environ. Qual. 27: 1246-1254.",48,0
107,"W1- IX+C","Ft. Valley, Peach County, GA","GA",NA,"March 1995 - March 1997",2,"Pasture","Coastal Bermudagrass, Fescue","Pasture",NA,NA,NA,"Sandy","Sandy Loam","Sandy Loam- Esto","C",NA,NA,NA,2,3.5,0.45,0.45,"Broiler Litter","Surface Applied","Composted Broiler Litter","Surface Applied",NA,NA,979,946,714,830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,"NO3-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,"Surface Runoff & Subsurface Flow",NA,"Vervoort, R.W., D.E. Radcliffe, M.L. Cabrera, and M. Latimore, Jr. 1998. Field-Scale Nitrogen and Phosphorus Losses from Hayfields Receiving Fresh and Composted Broiler Litter. J. Environ. Qual. 27: 1246-1254.",48,0
77,"UAN (Six Watersheds)","Putnam County, GA","GA","33,"1997 - 1998",12,"Pasture","Common Bermudagrass, Fescue (Grazing)","Pasture",NA,NA,NA,"Sandy","Sandy Loam","Sandy Loam- Cecil, Altovista, Helena, Sedgefield","B, C",NA,NA,NA,6,8,0.75,0.75,"UAN","Surface Applied",NA,NA,NA,NA,62,0,0,0,1176,1069,1123,227,177,202,NA,NA,NA,NA,NA,1,"NH4-N",NA,NA,NA,NA,NA,NA,NA,NA,7.6,3,5.3,"Dissolved Reactive P",NA,NA,NA,NA,NA,NA,NA,NA,"Surface Runoff",NA,"Pierson, S.T., M.L. Cabrera, G.K. Evanylo, H.A. Kuykendall, C.S. Hoveland, M.A. McCann, and L.T. West. 2001. Phosphorus and Ammonium Concentrations in Surface Runoff from Grasslands Fertilized with Broiler Litter. J. Environ. Qual. 30: 1784-1789.",32,0
